ball,size,Con2019,Leave,qunone,qu1,qu2,qu3,qu4,quother,White,nssec_student,nssec_higher_managerial,nssec_intermediate,nssec_lower_managerial,nssec_lower_supervisory,nssec_unemployed,nssec_routine,nssec_semi_routine,nssec_small_employers,age_under18,age_1824,age_2534,age_3549,age_5064,age_over65,Urban,dep_none,dep_one,dep_two_more
0,105,49.93107048661152,57.02095238095238,18.57018866892428,10.453795412950285,14.157712341906135,17.009059220435795,31.408892025968857,8.40035232981441,82.39621541285851,6.637703173392488,12.523691134356476,12.721163278486602,20.14638728124168,5.524460175702376,8.2406964996407,12.556980197953376,11.771453040780035,9.877465218446007,21.940067255362003,7.629879087022171,13.801307590194781,20.260232800857896,19.01918922160543,17.349324044957473,97.49047746128515,48.371313103619485,33.29681980533789,18.33186709104262
1,32,47.339263195530265,44.284375,12.872946266392871,7.9297620669946225,12.281770595196761,15.529040202791878,44.84803597387757,6.53844489474609,81.14720995589514,7.119405297924182,20.67261776143314,11.991954997334739,23.908809512122023,3.956492891244072,6.093249626451265,7.063127726684014,8.418380276980539,10.775961909825824,21.600606896950755,7.148972884540269,11.990158394026958,21.203522941060413,19.618942518696027,18.43779636472533,97.51081932575487,56.408308111956885,30.798547550780455,12.793144337262664
2,108,48.46819784802842,61.6824074074074,20.76754924043391,10.755507597970032,15.06140968065654,17.603647343061375,26.5626676369893,9.249218500888587,94.60472052357952,5.231815596258734,9.756137761634465,12.216775315123718,18.999555606747233,6.693268161259157,8.810536941352769,14.956916512072198,13.620824069280546,9.714170036270923,20.126176909063407,6.842591634636899,12.35151446429774,18.09462183126726,21.05427406337539,21.530821097359052,85.22872792459806,45.69486463861591,34.08785283459912,20.217282526784967
3,37,57.5805227196264,53.92162162162162,16.218236902151588,9.529297236496783,14.59115333913156,17.34802553503904,33.698524631134745,8.614762356046054,96.70984255569569,4.817398223017257,13.594226744852499,11.296023597674468,21.664764860055957,5.754823598841648,5.926096745201525,10.919900665075343,11.37393917522332,14.652826390057704,18.234855101979267,6.142530675254206,9.957212400528134,16.412651278934543,22.8273490672855,26.425401476018127,27.14720923271735,51.780211111358454,33.88500173207962,14.33478715656192
4,96,56.57384159113274,56.885416666666664,17.29656411205651,10.07451861433273,14.6737736271691,17.612145239376037,31.5374749936024,8.80552341346298,93.82009255120312,5.1664454731869816,13.01774847971046,12.254891776846378,21.3292854372681,6.03987196971159,6.711326489498108,12.22893790823713,11.957760831023789,11.293731634517188,19.947572041364076,6.55629402678817,11.591594052686832,18.103704682853706,21.283755268290324,22.517079928016642,67.1243924295574,50.54492243656994,33.448651919705924,16.006425643724135
5,26,26.95885491350412,50.76923076923077,23.34578991736767,10.333230559871005,11.987666630444911,14.285102749299277,32.324874988655544,7.723335154361349,42.61447730140181,10.60937923357537,8.601565261277145,10.217221432414501,15.562986682493623,4.8499803065811555,14.56034558235113,13.262722209246826,11.514620508844484,10.82117878321545,25.625484221814254,9.567520013766948,15.386451561148684,21.71688720618833,16.535233762304326,11.16842323477721,99.7219978539654,39.38263485740511,36.025427359140544,24.591937783454348
6,9,35.30153807005941,39.8,12.4281731085217,7.149917597761384,10.68621584413235,23.346634769946778,40.11266033142969,6.276398348207936,86.5717185344213,19.173878025701665,15.18795214853932,9.614367193071743,19.70138459716821,4.157294132958956,5.479263473088322,9.003393645687998,8.777072585405053,8.905394198378518,17.078434631145345,18.156047825961178,13.610905185893921,18.048152846821722,17.073256925403342,16.033202584774212,97.14403123113135,52.144488278738315,32.35364763256161,15.501864088700074
7,7,36.049816731223885,26.52857142857143,10.219941347725767,4.542541002358437,6.979405204586928,11.628744414383172,61.9383761657111,4.6909918652344444,66.69950179715518,8.903496097604737,27.928137949127,7.707448853668528,23.73258062181021,2.6554056180396555,7.644740168953725,5.514545114488962,5.954800716816299,9.958844859490723,17.401631483497145,9.414321322245298,23.101876540517303,22.08218159577454,16.261480714255942,11.73850834370953,100.0,57.08511785483585,28.792414590592497,14.122467554571655
8,30,54.036739719632244,47.693333333333335,13.496818660012071,8.545384501836397,13.150494625408509,16.298925929661802,41.395149601261544,7.11322668181946,85.65281100014332,6.416636759891845,19.554879567966022,12.067050560868461,23.513020021156105,4.40544255816131,5.602211760066786,7.96222291290776,9.00253470770708,11.476001151274415,21.34248220331342,6.763729867954001,11.23905926906565,20.16045483677494,20.307681364881653,20.18659245801008,82.24150251403799,56.58859000916484,31.054704761977245,12.356705228857914
9,21,19.856226734884235,28.047619047619047,13.758846356079713,5.879837833786855,7.816078878604597,12.471578025419314,54.96926881091505,5.104390095194306,54.19940138828584,11.040865626161729,21.71939305487648,7.854940160840992,21.571490439480378,3.3665459853765394,10.275228645872206,7.721427200836765,7.407357135768352,9.04275175078639,18.064909376002404,11.264621451661784,23.32618670727374,21.807245004913938,15.928226925919219,9.608810534228647,100.0,48.729822922553275,31.621108211539152,19.64906886590757
10,71,58.831565163727696,56.70985915492958,17.420017503669282,10.057671020984998,14.673953470712947,17.43732676029683,31.44747012210442,8.963561122231297,96.05123165863972,4.646132985499296,12.728831324742202,11.63266515886332,21.173256012899092,6.097023202471847,6.4789294203622445,12.132373968468142,12.059208332046698,13.051579594646883,18.893925828629644,6.2179984203496375,10.732403908171877,17.01820346116244,22.153118130228574,24.984350251457588,43.595337382975515,50.38155336892385,34.043195336623704,15.575251294452439
11,117,43.28284752837279,61.34957264957264,21.905955878180546,10.890437132223257,14.803333596458867,17.38270082154586,25.975321029665857,9.042251541925369,90.79938370191334,6.0020715413293315,9.072057391020179,12.302941569229153,18.152342162764114,6.400454781124598,9.893798304138537,15.373007195460293,13.70296816669444,9.100358888239093,21.07083227997836,7.446314074600046,13.396223140923587,18.747362698151914,20.11893977432242,19.220328032023428,96.95330838072621,43.98707718874302,34.06484932936798,21.948073481888994
12,23,36.181047651837154,47.77391304347826,18.140329780588118,8.83588157190673,11.4096247354571,16.20607264709705,38.38388626569497,7.024204999255828,59.17230363582378,11.569994940546376,13.139310209788482,10.537488453147398,19.03569996027523,4.443554247054635,10.29082267460667,10.388001710382085,9.928648454056313,10.666479350142552,22.513060914578496,10.37818467452468,14.835384972235866,21.51716584494553,17.337035797042788,13.419167796672374,99.92991913960194,46.09650621802524,33.88941308673098,20.014080695243784
13,35,37.90062898638286,60.57714285714285,25.551576990998438,11.202608745926648,13.600956053962205,15.56051069892204,25.459492384285305,8.624855125905132,62.767169729379944,8.931853241830362,7.2275452389595936,10.84019030559069,15.033551729255132,5.5712041866291795,13.923129760883747,16.675527545483348,13.076478723177459,8.72051926819023,25.338515753565453,8.84739738984263,14.108896309346608,19.921100153730873,17.430302142123292,14.35378825139089,99.20638153133528,39.64174900670645,35.122810335170065,25.23544065812349
14,2,15.078555976845294,49.1,30.89181085345895,11.690328231996801,13.465522226506351,14.54402249845435,22.5318729434509,6.876443246132391,27.678146239746567,13.2553617859726,4.873072241831075,8.95469991027707,10.97199440517848,4.17051914983243,23.2574039479934,14.511988043110449,11.125989288332626,8.878971227471581,29.726846476567353,11.7466686710281,14.545202109703549,20.11522364891085,13.90395780963015,9.96210128415973,100.0,31.620788751489613,36.859047290251695,31.52016395825869
15,4,12.604735695919738,38.425,23.1036185899778,9.33500272696132,10.692637113186095,16.809968082531775,33.900771855021524,6.158001632321325,29.497215722218684,17.3621855013497,8.853403801059192,8.094608120274124,13.21623248343935,3.754962694314832,18.50918653095565,11.4914323218566,9.772016137569143,8.945972409181088,25.188169556513476,14.472074132364174,17.42261854177375,20.7191655494857,13.781548709922,8.41642350994066,100.0,38.336560473986744,35.4456918982721,26.217747627741154
16,33,54.5325139199077,62.68181818181818,21.649939908181832,10.781850948470778,15.05363955420999,17.152687638476884,25.79896870297375,9.562913247686536,96.09100433614867,4.727063294678128,9.243098291948312,11.401530206848507,18.670637067344803,7.022330746520089,8.170088263542262,15.82540748373059,13.90666899575758,11.033175649629463,19.693096369814583,6.5971010607958975,11.866862621579527,17.415628414978908,21.467437150461787,22.95987438236906,55.83621426976517,45.21471792778819,34.83958731772044,19.945694754491374
17,57,43.16726631365956,54.921052631578945,18.560300873747952,9.88061960657828,13.561423800191259,18.82366547825964,30.790151962049872,8.383838279172764,86.85506434789811,9.576166418517714,10.972253751527251,11.920436438947721,19.091433547993415,5.608339418113681,8.435303644023614,13.093815174021627,12.234486261262795,9.06776534559191,20.29263251856772,10.169181779224555,14.214355549464264,19.19644265147716,18.62119204087254,17.506195460393485,98.7675203529887,46.7586351105652,33.59008149829266,19.651283391142137
18,17,28.006381065557058,47.21764705882353,21.833836745791878,9.917294161499338,11.115938889310893,13.387875002143213,36.19285700659752,7.552198194656925,33.09277968520407,10.371883070011046,10.267786313825587,9.964140463844233,16.031099719948738,4.469840450426744,14.302567839470152,11.908864240780815,10.639550452775381,12.044267448916981,24.354289330355563,9.306365226218249,15.73012764240434,22.28088915200385,16.69959954702706,11.628729101990684,100.0,40.6014015911063,36.40406636467612,22.99453204421758
19,4,14.765567516894704,26.075,10.885903414824977,5.274108829267115,7.413002410207003,20.740029634798976,51.22715962769958,4.459796083202197,71.82928337840458,23.504486573371974,19.5482914808415,7.615520750120538,18.638082020011776,3.1578965597773476,6.145705138643643,7.9079010648587325,6.932648351578322,6.54946806079597,16.67408478343375,20.390480428928498,20.2270296461503,18.974599020940577,13.562477174815374,10.171328945731252,100.0,53.203391747701815,31.21008551146852,15.586522740829665
20,9,44.739004018503636,47.93333333333333,14.6481928748243,8.004220541527125,11.809767770002445,22.496071819619143,35.81168055647109,7.230066437555704,88.5364506363059,16.35945665394329,13.642263059215228,10.232015615163995,19.252129152778277,4.803588518073755,6.434505222925078,10.365641937585794,9.89563986858353,9.014759971730838,18.042959068433422,15.187588865535796,12.474404795061123,17.422816863650223,18.060782315882864,18.81144809143629,84.82296597864374,50.96730372235191,32.83227940614628,16.200416871501815
21,9,52.99412579198031,53.52222222222222,17.588284553931235,9.14264189067574,14.690838009445379,16.92891085528921,32.60688836352351,9.042436327134748,97.94793125511512,4.290146898701442,11.133632176119242,10.363306829767296,20.514797205321756,6.082576662294683,6.601749983933718,11.819275235657223,12.563508669329522,16.63100633887479,17.387290547609087,5.639847877491523,9.615806861915997,15.464492142858145,23.510031447903856,28.382531122221152,12.904428563012736,49.172628887913426,34.712169564442284,16.11520154764429
22,29,54.74235945382643,57.248275862068965,17.669667151114343,10.502349300557931,14.74070539444497,17.68549471877465,30.093277956619616,9.308505478488224,95.40908518375531,4.779096109382951,12.45590636967686,13.035091145928346,21.66063239900577,5.853075648403037,7.1461851036849415,11.08292305685891,12.77427894772314,11.21281121933579,18.749556830578367,6.168110315814416,10.78833985506957,17.36087981394492,21.535517725178718,25.397595459413775,92.66199559945913,48.26643912104487,34.47730742800254,17.256253450952595
23,2,36.66025517135505,47.65,16.0014810050899,7.585178187593685,11.55985086643555,25.0034255926382,32.7561515648912,7.093912783351285,91.47919660464301,19.9490977586911,10.979990110874699,9.67177577500191,17.3630893352509,5.0203999583456245,7.8563310251730245,10.90645749942745,10.21627373467294,8.036584802562125,16.71835226058965,18.60860167692345,11.250858582430102,16.174287915871048,18.219956257545952,19.0279433066395,62.89662848990331,47.91026759937823,33.39297116740574,18.69676123321603
24,4,56.65933755027879,68.475,26.286694897421324,12.216815215382951,15.368567480811125,16.381934421301303,19.617239279178925,10.128748705904119,96.39953000625903,4.52087695934141,6.932839794307988,11.475462073065875,16.1226075279435,7.271675661354958,11.162346954736933,15.989542962599625,16.020339258989274,10.504308807660127,18.696190086884528,6.5830894244451175,10.94926222278498,16.049750212482998,21.54761390846335,26.17409414493885,76.45631725937523,38.34215071529499,36.327469690531494,25.33037959417351
25,75,54.282309091747905,53.844,15.967553338319801,9.602183463184087,14.279205510821226,17.48555318211344,34.17251915594384,8.492985349617383,93.52670445580397,5.3298174571797885,14.714679492688678,12.547126037320858,22.266430786388128,5.608391995897464,6.332374717340948,11.02682533432477,11.247232703959064,10.927121474900042,19.938225403729017,6.418347715732975,11.421962693094844,18.480386850768596,21.20458915094056,22.53648818573375,77.14971981339495,52.38511824104294,32.76170248833693,14.853179270620133
26,27,42.0087896603396,45.49629629629629,15.093164619643586,8.420595982051994,11.741538089410717,14.601477751462626,43.42332548868079,6.7198980687500525,65.37765102477809,7.525362115458345,17.84300357056062,11.700960600441864,22.19492424669054,4.138185082125994,8.167143834777015,8.23658445521629,9.012716964909162,11.181119129819935,22.28547503696588,7.3584143786441905,13.81931701496184,22.500651160975455,18.505697721269527,15.530444687182852,99.19174964704838,51.60855391610056,32.23706424604076,16.15438183785868
27,15,55.906234110994866,59.32666666666667,19.69210677042746,10.808393847870388,14.446758151133972,16.798341573829948,29.616431613356028,8.637968043381981,79.79691610831964,6.290583024057493,11.80543045936736,11.965618414368722,19.283600208476166,5.750012463669041,8.41235529983889,14.475372306732632,11.906150606088767,10.110877217400683,22.460713134298707,7.302377985419173,12.980455160786313,19.72399475041582,19.456081909786008,18.076377059293723,82.52599337915659,48.1654457209989,33.76681379878047,18.067740480220625
28,65,57.305051730322354,52.42,15.152468854009546,9.419733878381766,14.174226923960267,17.489537130447218,35.62095947779079,8.143073735410198,94.120671381885,5.431088661321811,15.90310141418039,12.166390484857564,22.669755322391616,5.385759200593721,5.644781045550812,10.273983480416183,10.580581305352322,11.944559085335316,19.792665150253136,6.544545977649613,11.094331997935978,18.201714235145023,21.43714957127994,22.929593067736064,57.46554146182508,53.83313504280062,32.58067870549666,13.586186251702719
29,23,26.870731403128215,30.12608695652174,13.091748546354664,5.906598032235198,8.392594571013465,12.504475182474016,54.83576397227472,5.268819695647737,62.35659644887446,9.125167395245295,22.225596773538133,8.749326619738316,22.934103652582,3.258512224881745,8.943487472183975,7.056354852085393,7.200459053084939,10.506991956660025,19.750918055419838,8.962729251396416,19.41773905673913,22.569225884711326,17.08939990756739,12.209987844165628,100.0,52.09094266940484,30.955069036860674,16.95398829373449
30,20,31.11047294244964,45.685,18.32923780456279,8.895094284360855,10.87705398784411,13.523334100568642,41.29032337672551,7.0849564459378955,45.16047001573714,9.452940222042436,13.252662610881547,10.351381011599418,19.037865830918967,4.327392668321196,11.190989557761103,10.161656150068518,9.899385142704414,12.325726805702109,23.36500245709101,8.447548419269683,16.180126278962344,22.899705385659974,17.308106990362944,11.799510468653782,99.91940701054224,44.817999185784615,34.74636385655673,20.435636957658655
31,7,26.041503997612757,46.614285714285714,19.18596299366204,8.349601422972906,10.702513094240956,21.944166595788744,32.94101417420023,6.876741719134936,63.589601261704516,22.0194079791951,9.373102419588147,8.913560473344974,14.353784253803342,4.34817386739322,11.348369340550132,13.081429241954542,9.956011712162693,6.6061607120076244,20.42835587315097,19.741117428089584,16.9012490583184,17.89302505049687,14.190841410624943,10.845411179318967,100.0,43.223629617401215,34.09325302534698,22.683117357251803
32,3,26.840366744030536,50.666666666666664,29.56603697339737,11.545331635707134,12.453657140354201,13.8856047021494,24.73702530977137,7.812344238620223,27.238599657815755,11.1277228241295,5.988187330269347,9.73134144295341,12.34946371452103,4.513458137331803,18.4239750777227,18.22909412960693,11.307471221685114,8.32928612177986,26.044235746967235,10.342692321237777,14.445777591877267,20.648291703829,16.097779912277634,12.4212227238108,100.0,36.303638099181526,36.39437063649094,27.30199126432753
33,3,17.392757666191063,41.166666666666664,20.626462617184,8.461670382678184,10.5448796597041,22.138906079114268,31.73053031453843,6.497550946780817,48.306819214479994,22.667782282772503,8.021840069555253,8.092236019188947,13.296587594853534,3.8552842240747065,13.499541000801,13.963191053369066,9.291107530580957,7.312430224803863,21.959926814449066,19.403992324645532,15.899171677154234,18.8303607356024,14.3097683641181,9.596780084030405,100.0,40.66114588623699,34.76995532596186,24.568898787801157
34,9,25.14263715000335,40.044444444444444,14.893982300733821,6.707859169878173,9.215665927863746,26.516606851422708,36.88177246305622,5.784113287045148,72.091258337573,28.213437879341523,11.461532259562407,8.275648356995745,15.226363669102,3.7482103965877354,8.559631633915906,9.80823115558156,8.493635215454052,6.213309433458888,16.693899800417643,24.808971809547632,16.620337139662855,16.408575583343886,13.612243374586166,11.85597229244151,100.0,46.737790925626854,33.321356188709075,19.94085288566407
35,29,57.74393898999142,59.841379310344834,19.604491983476695,10.472179985763487,15.11564452704768,17.3515712584913,28.034729824307462,9.421382420913156,97.30451739285677,4.419337784914521,10.113209451614393,11.035906746678346,19.557381109561483,6.648321024589842,7.4291611814554095,13.530775184780126,13.508393631482333,13.757513884923274,18.302340512719965,6.084341829483687,10.361367995464601,16.300759781138243,22.588687829673578,26.362502051519684,33.835012672061794,46.67443005169383,35.23428131227609,18.09128863603008
36,32,59.34314422914483,52.034375,14.686981122719512,9.40729203617577,14.166667032938932,17.337692499668236,36.29441626111295,8.106951047384365,94.27681975586198,5.033135191762668,16.482231155884588,11.960149984947678,22.870304484989934,5.379238707617058,5.3532853840170205,10.091142701909465,10.096224399654652,12.734287989216696,19.848422159598087,6.221711145862207,10.885094987707381,18.119100589983933,21.779079680258395,23.146591436589762,38.40623344124565,55.12290122923961,32.34110925430014,12.53598951646025
37,3,55.76515017742142,45.86666666666667,12.984802790803334,8.59887977551233,13.591967433345532,16.0541342044309,41.84442913849497,6.9257866574127105,92.45901890714997,5.913110839055119,20.0351941280101,11.1982309492507,23.426418077213132,4.69064703060943,4.659701171617917,7.860459273431334,9.004529405284776,13.211709125527266,20.7582216810246,6.420934090774826,10.152517142375673,19.280535557245003,21.252545720692666,22.135245807886964,21.25517695733257,57.67722904253412,31.126021508909776,11.196749448556105
38,13,53.43314500905943,53.892307692307696,16.3979725142458,9.653285501054944,14.688658687414993,18.44855267467313,32.157691344310805,8.653839278300115,96.11797211941722,6.298020979322895,12.496140113935496,11.528087719201853,21.133440205585046,5.895976628294136,6.3759589066781945,11.777716604962244,11.584196354192294,12.910462487827534,19.00374057469547,7.373862979565673,10.953397518882014,16.95091728045124,21.96226180043773,23.75581984596763,27.478348182625368,50.97964741794256,33.80636339772314,15.213989184334306
