GEO_ID,Tot_pop ,Rural
0500000US01001,24350,9991
0500000US01003,124148,40740
0500000US01005,11618,7538
0500000US01007,9002,9002
0500000US01009,24622,22337
0500000US01011,4516,4516
0500000US01013,9806,6916
0500000US01015,53052,18849
0500000US01017,16373,8388
0500000US01019,14513,14513
0500000US01021,19438,16547
0500000US01023,7104,7104
0500000US01025,11655,11655
0500000US01027,7035,7035
0500000US01029,6801,6801
0500000US01031,24105,11782
0500000US01033,27666,11234
0500000US01035,6382,6382
0500000US01037,5999,5999
0500000US01039,18596,12750
0500000US01041,6516,6516
0500000US01043,39145,29645
0500000US01045,22761,11528
0500000US01047,18880,8408
0500000US01049,30584,27249
0500000US01051,36818,26274
0500000US01053,16684,10473
0500000US01055,47306,19411
0500000US01057,7760,7760
0500000US01059,13912,10065
0500000US01061,12452,12397
0500000US01063,4205,4205
0500000US01065,7399,7399
0500000US01067,9058,9058
0500000US01069,49282,16265
0500000US01071,24627,18233
0500000US01073,307927,33590
0500000US01075,7071,7071
0500000US01077,44585,22575
0500000US01079,15225,15224
0500000US01081,74856,19070
0500000US01083,42692,21943
0500000US01085,4779,4779
0500000US01087,9604,5272
0500000US01089,169820,27442
0500000US01091,9777,6791
0500000US01093,14073,14073
0500000US01095,41245,22720
0500000US01097,184441,39319
0500000US01099,10127,7898
0500000US01101,105293,12251
0500000US01103,53265,20223
0500000US01105,3933,3933
0500000US01107,8646,8646
0500000US01109,15977,9120
0500000US01111,12400,12400
0500000US01113,27253,10541
0500000US01115,37775,25132
0500000US01117,89060,21565
0500000US01119,6279,6279
0500000US01121,37948,22123
0500000US01123,22686,18258
0500000US01125,101460,29825
0500000US01127,29975,24194
0500000US01129,7712,7712
0500000US01131,5261,5261
0500000US01133,13015,13015
0500000US02013,679,679
0500000US02016,1331,1331
0500000US02020,118640,5451
0500000US02050,5984,4228
0500000US02060,857,857
0500000US02063,3565,3565
0500000US02066,2769,2769
0500000US02068,1606,1606
0500000US02070,2405,2405
0500000US02090,42659,12479
0500000US02100,1370,1370
0500000US02105,1777,1777
0500000US02110,14093,3133
0500000US02122,32622,26412
0500000US02130,6614,1156
0500000US02150,5825,2027
0500000US02158,2342,2342
0500000US02164,1469,1469
0500000US02170,51077,30573
0500000US02180,4095,4095
0500000US02185,2619,2619
0500000US02188,2717,2717
0500000US02195,1718,1718
0500000US02198,3227,3227
0500000US02220,4139,476
0500000US02230,760,760
0500000US02240,3513,3513
0500000US02275,1273,1273
0500000US02282,441,441
0500000US02290,4014,4014
0500000US04001,28723,28723
0500000US04003,58648,22274
0500000US04005,69108,27073
0500000US04007,32373,16077
0500000US04009,13704,6243
0500000US04011,4389,4389
0500000US04012,13457,5699
0500000US04013,1812827,37705
0500000US04015,117650,28054
0500000US04017,56180,27917
0500000US04019,470132,37088
0500000US04021,172878,36634
0500000US04023,18729,11395
0500000US04025,121154,39909
0500000US04027,92048,11734
0500000US05001,8671,4622
0500000US05003,9371,5821
0500000US05005,22699,13585
0500000US05007,113088,28019
0500000US05009,17368,10569
0500000US05011,5073,2483
0500000US05013,2444,2444
0500000US05015,13853,11845
0500000US05017,5104,5104
0500000US05019,9977,5772
0500000US05021,7470,7470
0500000US05023,15527,11686
0500000US05025,3570,3570
0500000US05027,10999,6516
0500000US05029,9646,6626
0500000US05031,46739,15232
0500000US05033,25300,12862
0500000US05035,21291,4311
0500000US05037,7585,4202
0500000US05039,3468,3468
0500000US05041,5795,3652
0500000US05043,8259,4353
0500000US05045,51685,22640
0500000US05047,7716,7716
0500000US05049,6185,6185
0500000US05051,52326,15830
0500000US05053,7839,5723
0500000US05055,19159,8547
0500000US05057,9601,5506
0500000US05059,14179,9944
0500000US05061,6152,6152
0500000US05063,16667,11943
0500000US05065,6721,6721
0500000US05067,7079,4146
0500000US05069,30573,9150
0500000US05071,11475,8151
0500000US05073,3916,3916
0500000US05075,7489,4503
0500000US05077,3695,3695
0500000US05079,4366,4366
0500000US05081,6043,6043
0500000US05083,9744,9744
0500000US05085,30112,15983
0500000US05087,7611,7611
0500000US05089,9461,9461
0500000US05091,19779,7859
0500000US05093,19075,8267
0500000US05095,3828,3828
0500000US05097,5435,5435
0500000US05099,4298,4298
0500000US05101,4086,4086
0500000US05103,11837,6645
0500000US05105,4933,4933
0500000US05107,8315,3921
0500000US05109,5289,5289
0500000US05111,10327,7184
0500000US05113,9612,6823
0500000US05115,26902,15232
0500000US05117,4071,4071
0500000US05119,190511,19920
0500000US05121,8562,5421
0500000US05123,9565,5491
0500000US05125,51879,18218
0500000US05127,4851,4851
0500000US05129,4705,4705
0500000US05131,56749,10776
0500000US05133,6741,4578
0500000US05135,9499,9499
0500000US05137,6784,6784
0500000US05139,18599,9732
0500000US05141,9668,9668
0500000US05143,100508,23942
0500000US05145,33270,18643
0500000US05147,3250,3250
0500000US05149,9246,7597
0500000US06001,621958,2958
0500000US06003,1540,1540
0500000US06005,18805,12883
0500000US06007,90133,19919
0500000US06009,27422,24210
0500000US06011,8099,3655
0500000US06013,423342,3990
0500000US06015,11090,4416
0500000US06017,93467,34495
0500000US06019,338441,40061
0500000US06021,10895,4541
0500000US06023,62120,20658
0500000US06025,56625,10436
0500000US06027,9469,4365
0500000US06029,301009,45008
0500000US06031,46287,5605
0500000US06033,34220,13034
0500000US06035,12216,7983
0500000US06037,3591981,31344
0500000US06039,49572,22388
0500000US06041,111564,8603
0500000US06043,9760,9760
0500000US06045,41370,21544
0500000US06047,87783,15722
0500000US06049,4752,4752
0500000US06051,13589,4415
0500000US06053,143631,21612
0500000US06055,55448,9779
0500000US06057,53627,23081
0500000US06059,1129785,2997
0500000US06061,172356,31079
0500000US06063,15396,15396
0500000US06065,848549,49278
0500000US06067,587551,14109
0500000US06069,20365,5202
0500000US06071,731899,55011
0500000US06073,1228505,48938
0500000US06075,406628,0
0500000US06077,251453,21101
0500000US06079,123715,22094
0500000US06081,283693,5464
0500000US06083,158279,10178
0500000US06085,688035,9026
0500000US06087,106345,15097
0500000US06089,79380,27991
0500000US06091,2127,2108
0500000US06093,22929,16306
0500000US06095,162237,7610
0500000US06097,204742,35357
0500000US06099,183140,15777
0500000US06101,34499,5704
0500000US06103,27341,16020
0500000US06105,8183,8183
0500000US06107,150652,32020
0500000US06109,31415,15398
0500000US06111,293080,9812
0500000US06113,80188,6451
0500000US06115,29458,10269
0500000US08001,186544,7330
0500000US08003,7064,2408
0500000US08005,262493,4649
0500000US08007,9495,5399
0500000US08009,1972,1972
0500000US08011,2136,2136
0500000US08013,140848,15321
0500000US08014,31298,86
0500000US08015,10921,5431
0500000US08017,925,925
0500000US08019,5672,5672
0500000US08021,3998,3998
0500000US08023,2423,2423
0500000US08025,1509,1509
0500000US08027,4175,4175
0500000US08029,14780,11227
0500000US08031,344980,8
0500000US08033,1319,1319
0500000US08035,135643,12607
0500000US08037,32967,5591
0500000US08039,9805,9805
0500000US08041,287459,25564
0500000US08043,20243,9126
0500000US08045,24091,7721
0500000US08047,3516,3516
0500000US08049,16633,8200
0500000US08051,12131,8846
0500000US08053,1329,1329
0500000US08055,4679,4679
0500000US08057,1190,1190
0500000US08059,248429,18708
0500000US08061,736,736
0500000US08063,3410,3410
0500000US08065,4303,1697
0500000US08067,28198,18966
0500000US08069,158769,19598
0500000US08071,8077,3715
0500000US08073,2358,2358
0500000US08075,8668,3010
0500000US08077,67407,8823
0500000US08079,1215,1215
0500000US08081,6091,1803
0500000US08083,12295,8381
0500000US08085,18952,7838
0500000US08087,11493,4240
0500000US08089,8716,5145
0500000US08091,3314,3314
0500000US08093,14112,14112
0500000US08095,2025,2025
0500000US08097,13245,3832
0500000US08099,5437,2051
0500000US08101,71981,9578
0500000US08103,3274,3274
0500000US08105,6527,6527
0500000US08107,16511,5979
0500000US08109,3739,3739
0500000US08111,779,779
0500000US08113,6551,2204
0500000US08115,1343,1343
0500000US08117,31342,5452
0500000US08119,13316,8806
0500000US08121,2276,2276
0500000US08123,119962,24371
0500000US08125,4315,4315
0500000US09001,378479,20139
0500000US09003,385307,19996
0500000US09005,87615,40719
0500000US09007,76289,20571
0500000US09009,369178,16942
0500000US09011,122863,33349
0500000US09013,60876,30461
0500000US09015,49590,24829
0500000US10001,72708,19317
0500000US10003,233747,11723
0500000US10005,142280,39082
0500000US11001,350364,0
0500000US12001,123359,27727
0500000US12003,9809,5912
0500000US12005,102971,11113
0500000US12007,10723,7237
0500000US12009,288794,11025
0500000US12011,860329,35
0500000US12013,5628,5628
0500000US12015,110046,6049
0500000US12017,81687,20790
0500000US12019,85049,13171
0500000US12021,228390,16523
0500000US12023,29775,18717
0500000US12027,15548,7299
0500000US12029,9276,9276
0500000US12031,435033,10588
0500000US12033,145390,9611
0500000US12035,55565,3997
0500000US12037,8347,8347
0500000US12039,18929,15345
0500000US12041,7493,7493
0500000US12043,6491,5102
0500000US12045,8796,8796
0500000US12047,5596,5596
0500000US12049,9820,5889
0500000US12051,14971,5670
0500000US12053,89165,18672
0500000US12055,57486,11478
0500000US12057,602886,20200
0500000US12059,8622,8622
0500000US12061,83529,4406
0500000US12063,19882,17158
0500000US12065,6690,6690
0500000US12067,3284,3284
0500000US12069,177628,29823
0500000US12071,416332,15014
0500000US12073,133478,16649
0500000US12075,20868,20868
0500000US12077,3196,3196
0500000US12079,8315,8315
0500000US12081,206633,6928
0500000US12083,177380,51931
0500000US12085,81371,3875
0500000US12086,1074685,6097
0500000US12087,53961,7798
0500000US12089,41628,15405
0500000US12091,101197,8820
0500000US12093,18484,5288
0500000US12095,561851,11699
0500000US12097,154680,9830
0500000US12099,705988,4980
0500000US12101,256783,17226
0500000US12103,516324,737
0500000US12105,316381,35009
0500000US12107,36014,27184
0500000US12109,119090,16655
0500000US12111,147884,5566
0500000US12113,75854,14780
0500000US12115,253231,4238
0500000US12117,193790,5646
0500000US12119,75304,12586
0500000US12121,18859,16108
0500000US12123,11088,8143
0500000US12125,4713,4713
0500000US12127,272325,20828
0500000US12129,13633,9721
0500000US12131,56197,19459
0500000US12133,10846,10846
0500000US13001,8496,6014
0500000US13003,3470,3470
0500000US13005,4807,4807
0500000US13007,1447,1447
0500000US13009,19988,9647
0500000US13011,7211,6876
0500000US13013,30019,9807
0500000US13015,42435,16014
0500000US13017,8124,2770
0500000US13019,7991,5856
0500000US13021,71901,8917
0500000US13023,5176,2768
0500000US13025,8143,8076
0500000US13027,7280,7280
0500000US13029,16703,8190
0500000US13031,32983,15005
0500000US13033,11138,8437
0500000US13035,9437,7203
0500000US13037,2020,2020
0500000US13039,22541,6957
0500000US13043,4629,4629
0500000US13045,46239,25203
0500000US13047,27971,6133
0500000US13049,4660,4660
0500000US13051,134146,3907
0500000US13053,3242,1460
0500000US13055,10854,6669
0500000US13057,100813,18160
0500000US13059,55802,3155
0500000US13061,1961,1961
0500000US13063,114038,550
0500000US13065,3025,3025
0500000US13067,308504,7
0500000US13069,17331,11232
0500000US13071,19105,10726
0500000US13073,58640,9078
0500000US13075,7258,4293
0500000US13077,56729,24325
0500000US13079,5154,5154
0500000US13081,9854,4630
0500000US13083,7387,7319
0500000US13085,11926,8097
0500000US13087,13036,6966
0500000US13089,326101,440
0500000US13091,8533,5755
0500000US13093,4762,4762
0500000US13095,40560,5577
0500000US13097,53885,7874
0500000US13099,4918,4918
0500000US13101,1531,1531
0500000US13103,24317,17862
0500000US13105,9248,6478
0500000US13107,9962,6851
0500000US13109,4646,4646
0500000US13111,17643,17643
0500000US13113,45202,7698
0500000US13115,40475,15662
0500000US13117,87581,6753
0500000US13119,10586,10586
0500000US13121,494006,2896
0500000US13123,17717,13979
0500000US13125,1403,1403
0500000US13127,42156,7982
0500000US13129,22736,13637
0500000US13131,11539,7117
0500000US13133,10087,10087
0500000US13135,330569,1401
0500000US13137,18340,11800
0500000US13139,76865,18885
0500000US13141,4896,4896
0500000US13143,12292,9368
0500000US13145,14212,13792
0500000US13147,12763,10155
0500000US13149,4742,4742
0500000US13151,86594,15247
0500000US13153,66633,5687
0500000US13155,4158,4158
0500000US13157,27699,17134
0500000US13159,6270,6270
0500000US13161,6351,4172
0500000US13163,7148,7148
0500000US13165,4066,4066
0500000US13167,3542,3542
0500000US13169,11584,9577
0500000US13171,7561,4765
0500000US13173,4069,4069
0500000US13175,21924,12587
0500000US13177,12709,7828
0500000US13179,26564,6580
0500000US13181,4389,4389
0500000US13183,6180,4921
0500000US13185,48717,16325
0500000US13187,13006,11603
0500000US13189,9390,5498
0500000US13191,6615,6615
0500000US13193,5109,5109
0500000US13195,12114,11046
0500000US13197,3497,3497
0500000US13199,9456,9456
0500000US13201,2851,2851
0500000US13205,9036,6686
0500000US13207,11085,8811
0500000US13209,3740,3694
0500000US13211,8318,6230
0500000US13213,16038,11008
0500000US13215,90348,2709
0500000US13217,41756,13979
0500000US13219,14998,7843
0500000US13221,6343,6343
0500000US13223,59172,12229
0500000US13225,11991,4628
0500000US13227,14896,12239
0500000US13229,8360,8264
0500000US13231,7066,7044
0500000US13233,17274,8876
0500000US13235,4281,4281
0500000US13237,13032,13032
0500000US13239,1678,1276
0500000US13241,11970,11970
0500000US13243,3438,3438
0500000US13245,92057,7012
0500000US13247,35427,4978
0500000US13249,1961,1961
0500000US13251,6500,6500
0500000US13253,5048,5048
0500000US13255,27785,11316
0500000US13257,12317,7098
0500000US13259,2103,2103
0500000US13261,13458,5849
0500000US13263,3042,3042
0500000US13265,908,908
0500000US13267,9298,9298
0500000US13269,3894,3894
0500000US13271,4704,4704
0500000US13273,4243,4243
0500000US13275,20668,9041
0500000US13277,17375,6864
0500000US13279,12027,5835
0500000US13281,8600,8600
0500000US13283,2868,2868
0500000US13285,28721,12546
0500000US13287,3916,1830
0500000US13289,4028,4028
0500000US13291,14645,14645
0500000US13293,12301,5622
0500000US13295,29137,14304
0500000US13297,35473,20477
0500000US13299,15858,4877
0500000US13301,2511,2511
0500000US13303,8556,5212
0500000US13305,12460,7489
0500000US13307,1196,1196
0500000US13309,2420,2420
0500000US13311,13535,13535
0500000US13313,38876,13897
0500000US13315,3440,3440
0500000US13317,5165,5165
0500000US13319,4288,4288
0500000US13321,9244,6518
0500000US15001,88691,52845
0500000US15003,370665,4929
0500000US15005,114,114
0500000US15007,30157,12669
0500000US15009,71439,15040
0500000US16001,196901,7973
0500000US16003,2642,2642
0500000US16005,34903,5637
0500000US16007,3849,3849
0500000US16009,4628,4628
0500000US16011,16905,9792
0500000US16013,15436,3861
0500000US16015,5443,5443
0500000US16017,26312,19893
0500000US16019,45214,6857
0500000US16021,5400,5400
0500000US16023,1289,1289
0500000US16025,691,691
0500000US16027,81013,15184
0500000US16029,3108,3108
0500000US16031,8838,4333
0500000US16033,483,483
0500000US16035,4552,4552
0500000US16037,3021,3021
0500000US16039,12049,4671
0500000US16041,4985,4985
0500000US16043,8452,8452
0500000US16045,7563,3372
0500000US16047,6030,6030
0500000US16049,8872,8872
0500000US16051,10134,6773
0500000US16053,8569,4260
0500000US16055,74736,19831
0500000US16057,17259,5958
0500000US16059,4568,4568
0500000US16061,1810,1810
0500000US16063,1948,1948
0500000US16065,14124,3533
0500000US16067,8218,3560
0500000US16069,18364,3552
0500000US16071,2009,2009
0500000US16073,4719,4719
0500000US16075,9684,3863
0500000US16077,2937,2937
0500000US16079,6990,6990
0500000US16081,5815,5815
0500000US16083,34693,11849
0500000US16085,12189,7858
0500000US16087,4514,2233
0500000US17001,30235,9511
0500000US17003,2946,2863
0500000US17005,6858,4596
0500000US17007,20157,5967
0500000US17009,2330,2330
0500000US17011,15616,8452
0500000US17013,2282,2282
0500000US17015,8159,8159
0500000US17017,5676,3171
0500000US17019,93075,13809
0500000US17021,15184,6737
0500000US17023,7327,7327
0500000US17025,6145,3884
0500000US17027,15574,12220
0500000US17029,22739,5629
0500000US17031,2264966,1123
0500000US17033,8471,5269
0500000US17035,4728,4728
0500000US17037,41311,8874
0500000US17039,7309,3760
0500000US17041,8469,6125
0500000US17043,364970,604
0500000US17045,8236,4018
0500000US17047,3041,3041
0500000US17049,15314,8726
0500000US17051,8829,5902
0500000US17053,6265,4229
0500000US17055,18480,10633
0500000US17057,15855,10027
0500000US17059,2497,2497
0500000US17061,5785,5785
0500000US17063,21174,5519
0500000US17065,3806,3806
0500000US17067,8952,7620
0500000US17069,2196,2196
0500000US17071,3357,3329
0500000US17073,22211,10836
0500000US17075,12779,10335
0500000US17077,27743,10189
0500000US17079,4228,4228
0500000US17081,16632,8946
0500000US17083,9754,5774
0500000US17085,13408,12183
0500000US17087,5526,5526
0500000US17089,188510,7988
0500000US17091,45270,13161
0500000US17093,45008,5373
0500000US17095,23817,8148
0500000US17097,269378,4012
0500000US17099,49812,14268
0500000US17101,6279,3962
0500000US17103,14985,8273
0500000US17105,15920,10189
0500000US17107,11984,5228
0500000US17109,13609,5607
0500000US17111,119708,17090
0500000US17113,74855,15439
0500000US17115,49727,7670
0500000US17117,21023,13751
0500000US17119,118579,17412
0500000US17121,17358,7981
0500000US17123,5819,5819
0500000US17125,6626,6626
0500000US17127,6797,3423
0500000US17129,5591,5591
0500000US17131,7291,7291
0500000US17133,14540,5847
0500000US17135,12511,7068
0500000US17137,15031,5472
0500000US17139,6159,4116
0500000US17141,22632,15564
0500000US17143,85074,12829
0500000US17145,9123,6154
0500000US17147,7360,4755
0500000US17149,7260,7260
0500000US17151,2355,2355
0500000US17153,2831,2831
0500000US17155,3057,3057
0500000US17157,13373,11347
0500000US17159,7364,3210
0500000US17161,66729,7272
0500000US17163,114595,15452
0500000US17165,11576,7422
0500000US17167,92982,15686
0500000US17169,3320,3320
0500000US17171,2388,2388
0500000US17173,10015,7474
0500000US17175,2577,2577
0500000US17177,21369,9381
0500000US17179,58550,11906
0500000US17181,7841,5092
0500000US17183,34407,13265
0500000US17185,5409,1974
0500000US17187,7602,3712
0500000US17189,6390,6349
0500000US17191,7679,5139
0500000US17193,6751,4212
0500000US17195,25855,10819
0500000US17197,250678,13321
0500000US17199,31818,12067
0500000US17201,124983,11695
0500000US17203,15704,11099
0500000US18001,13172,8352
0500000US18003,162431,18086
0500000US18005,35317,10408
0500000US18007,3783,3783
0500000US18009,5857,2803
0500000US18011,28103,7534
0500000US18013,8436,8436
0500000US18015,9483,8431
0500000US18017,16379,7667
0500000US18019,52169,10394
0500000US18021,11632,6910
0500000US18023,13450,6800
0500000US18025,5871,5871
0500000US18027,12738,7179
0500000US18029,20845,12265
0500000US18031,11512,5956
0500000US18033,18096,9283
0500000US18035,51464,11295
0500000US18037,18618,8874
0500000US18039,79594,16259
0500000US18041,10886,3837
0500000US18043,34344,10572
0500000US18045,7760,7760
0500000US18047,9639,8689
0500000US18049,9532,5826
0500000US18051,14539,10544
0500000US18053,29810,10664
0500000US18055,14329,11708
0500000US18057,135064,8147
0500000US18059,32125,8786
0500000US18061,16686,14177
0500000US18063,66869,10306
0500000US18065,20952,11932
0500000US18067,39605,9002
0500000US18069,16217,8204
0500000US18071,19069,9262
0500000US18073,13515,11005
0500000US18075,8890,5851
0500000US18077,14386,6394
0500000US18079,11574,8461
0500000US18081,63393,8061
0500000US18083,16917,7741
0500000US18085,38133,17421
0500000US18087,14845,14845
0500000US18089,214775,8984
0500000US18091,49780,17507
0500000US18093,20484,13552
0500000US18095,58784,13492
0500000US18097,436998,3065
0500000US18099,19654,14418
0500000US18101,4576,4576
0500000US18103,14852,7009
0500000US18105,63606,13487
0500000US18107,16464,8456
0500000US18109,29351,15368
0500000US18111,6018,6018
0500000US18113,20049,15485
0500000US18115,2722,2722
0500000US18117,9058,9058
0500000US18119,9795,9795
0500000US18121,7536,7486
0500000US18123,8502,4106
0500000US18125,5581,5581
0500000US18127,71483,15916
0500000US18129,11021,7555
0500000US18131,5816,5816
0500000US18133,14946,10911
0500000US18135,11394,7388
0500000US18137,12259,9924
0500000US18139,7352,4343
0500000US18141,118123,11343
0500000US18143,10715,7205
0500000US18145,19423,9863
0500000US18147,8572,8572
0500000US18149,11123,11123
0500000US18151,18837,12109
0500000US18153,8788,6342
0500000US18155,4290,4290
0500000US18157,77797,11240
0500000US18159,6797,4056
0500000US18161,3238,3238
0500000US18163,84058,5854
0500000US18165,7297,4217
0500000US18167,46932,11080
0500000US18169,14037,6684
0500000US18171,3659,3659
0500000US18173,26118,6731
0500000US18175,12093,9077
0500000US18177,30752,10791
0500000US18179,11938,7180
0500000US18181,12866,6580
0500000US18183,14837,10093
0500000US19001,3585,3585
0500000US19003,1888,1888
0500000US19005,7668,7668
0500000US19007,6306,3582
0500000US19009,2787,2787
0500000US19011,11076,8889
0500000US19013,58559,7089
0500000US19015,11921,5887
0500000US19017,10484,6823
0500000US19019,8886,5693
0500000US19021,8141,4024
